,Car,Price,Location
121,🚗✨2016 KIA OPTIMA✨🚘SUMMER SALE🤑GIANT SAVINGS 💰CALL $NOW➔,8975.0,822 W. VALLEY BLVD.BLOOMINGTON CA 92316
122,2019 CHEVROLET TRAX LOW MILES! RUNS GREAT!,10990.0,city of san diego
123,2019 KIA SOUL + RUNS AND DRIVES GREAT! LOW MILES!,10990.0,city of san diego
124,2020 Ford Mustang EcoBoost Premium SKU:24829 Ford Mustang EcoBoost Pre,24995.0,San Diego Auto Finders
125,2023 Tesla Model Y AWD All Wheel Drive Electric Long Range Sport Utili,55990.0,Diplomat Motors
126,2006 Toyota  Matrix XR Runs Excellent!!!,2650.0,San diego
127,2003 Camry needs some work! $2000 OBO,2000.0,Santee
128,"2019 Chevrolet Bolt EV Premium Condition, A Must See, SKU:24851 Chevro",18997.0,San Diego Auto Finders
129,2013 Ford F-150 XLT SuperCrew 5.5-ft. Bed 4WD,16995.0,city of san diego
130,2014 Mercedes-Benz C-Class C250 Sport Sedan,13995.0,city of san diego
131,2014 Ram 2500 ST Crew Cab LWB 2WD,23995.0,city of san diego
132,2016 Nissan Frontier S Crew Cab 6MT 2WD,18995.0,city of san diego
133,2012 Ram 3500 Laramie Mega Cab 4WD,41995.0,city of san diego
134,1969 Ford Mustang Mach 1,29500.0,El Cajon
135,Honda CRV-Ex 2003,7399.0,Scripps Ranch
136,"2019 Maserati Ghibli Navi, Loaded, SKU:24713 Maserati Ghibli Navi, Loa",29988.0,San Diego Auto Finders
137,2013 INFINITY JX35 🤑MUST SEE★6 CYLINDERS★📲CALL US $NOW,11975.0,822 W. VALLEY BLVD.BLOOMINGTON CA 92316
139,2019 Dodge Charger SXT,21995.0,city of san diego
140,2014 Nissan Frontier S Crew Cab 5AT 2WD,17995.0,city of san diego
141,2015 GMC Canyon SLE Ext. Cab 2WD,15995.0,city of san diego
142,2011 Mazda MAZDA3 s Sport 5-Door,12995.0,city of san diego
143,2014 Jeep Grand Cherokee Limited 4WD,17995.0,city of san diego
144,2014 Chevrolet Chevy Silverado 1500 1LT Crew Cab 4WD,26995.0,city of san diego
145,2008 Chevrolet Chevy Silverado 2500HD LT1 Ext. Cab Std. Box 4WD,23995.0,city of san diego
146,2016 GMC Yukon XL SLT 2WD,30995.0,city of san diego
147,"2015 JEEP WRANGLER UNLIMITED RUBICON (SMOG, 107K, OFF ROAD READY)",22900.0,SAN DIEGO
148,2019 BMW 3 Series 3-Series 330i Sedan 4D Sedan,30990.0,Diplomat Motors
149,"2017 Nissan Rogue Super Nice, A Must See, SKU:24699 Nissan Rogue Super",16993.0,San Diego Auto Finders
150,2010 CHRYSLER TOWN AND COUNTRY TOURING PLUS (COMPLETE SERVICE HISTORY),5950.0,SAN DIEGO
151,2012 Acura RDX,10500.0,San Diego
153,"2017 Lexus GS 350 , Great Carfax & Services, Loaded, Super SKU:24682 L",21996.0,San Diego Auto Finders
154,2009 Jeep Liberty with low miles,7500.0,San Ysidro Ca.
155,Reliable Toyota Avalon _ daily driver,5000.0,city of san diego
156,2017 Audi A6 2.0T Premium Plus 4dr Sedan - Buy Here Pay Here!,23995.0,+ Grand Auto Sales
157,$288/mo - 2006 Lexus GX 470 Sport Package Sport Package,19999.0,Alpha Motors
158,2022 Tesla Model X AWD All Wheel Drive Electric Long Range Sport Utili,96990.0,Diplomat Motors
159,💰2015 GMC SIERRA 2500HD🚘SUPER CLEAN 🚨GIANT SALE🚨,19975.0,822 W. VALLEY BLVD.BLOOMINGTON CA
160,ACURA CL COUP 5 SPEED,4599.0,San diego
161,2015 BMW 328i 4DR,9995.0,National City
162,2011 VW GOLF 2-DOOR HATCHBACK,12735.0,SAN DIEGO
163,2015 GMC Yukon,21500.0,Chula Vista
164,2020 Honda Civic LX,19000.0,La Mesa
165,Ford Transit Connect 2014,11000.0,city of san diego
167,2012 BUICK VERANO CONVENIENCE GROUP FLEX FUEL (EXCELLENT CONDITION),8499.0,SAN DIEGO
168,LOW MILES!! 2007 dodge Durango Sport utility SLT,8000.0,Alpine
169,2017 Tesla Model S AWD All Wheel Drive Electric 100D Sedan 4D Sedan,37990.0,Diplomat Motors
170,2013 Lexus ES 300h Hybrid - GOOD/BAD/NO CREDIT OK!,21250.0,+ Escondido Auto Super Center
171,"2013 DODGE DART SXT (CARFAX, SMOG, 88K) EXCELLENT CONDITION",6450.0,SAN DIEGO
172,Land Rover LR4 HSE LUX Sport Utility,22500.0,La Jolla
173,Jeep Wrangler limited edition,27000.0,Chula Vista
174,Immaculate 2000 Mercedes Benz E320 Sport low miles,2900.0,San Diego
176,2012 HONDA CIVIC HYBRID ( 619 951 7876 ),4899.0,La Mesa
177,2007 BMW Z4 RODESTER SI,8700.0,San diego
178,"2007 CHRYSLER 300 (CAR FAX, SERVICE HISTORY, 117K, ONE OWNER)EXCELLENT",5950.0,SAN DIEGO
179,"2009 HYUNDAI ELANTRA SE (ONE OWNER, COMPLETE SERVICE HISTORY)EXCELLENT",4995.0,SAN DIEGO
181,2011 Ford ESeries E Series E-Series E 250 3dr 3 dr 3-dr Extended Cargo,12900.0,Bloom Auto Sales
182,2016 Audi S7 AWD All Wheel Drive Sedan 4D Sedan,34990.0,Diplomat Motors
183,2021 Subaru Crosstrek Sport 2.5,19900.0,ramona
184,**** 2010 Mercedes Benz E350 EXCELLENT,7950.0,San Clemente
185,**** 2003 Volkswagen Jetta Wagon TDI TURBO DIESEL,2950.0,San Clemente
186,**** 2005 Subaru Outback 2.5L CLEAN,4950.0,San Clemente
187,2011 Toyota Prius only 89000k,10700.0,Pacific Beach
188,"2010 CHEVROLET AVALANCHE LT 4X4 (ONE OWNER, NO ACCIDENT, CARFAX)",9950.0,SAN DIEGO
189,"1999 Mazda Miata , MX-5 , 5- speed, Runs Xlnt!",5000.0,San Diego
190,2001 Ford E-350 Econoline Club wagon 7.3 Powerstroke 15-Passenger van,35000.0,Anaheim
191,"2001 Toyota Sienna CE Minivan, 7 Passenger, SMOGGED!",3800.0,San Diego
192,2020 Mazda CX-5 Touring all wheel drive,18800.0,ramona
193,**** 2011 Mercedes Benz S550 EXCELLENT,7950.0,San Clemente
194,2006 Toyota Matrix Hatchback/Sedan. Smogged Runs XLNT!,4800.0,San Diego
195,2007 Volkswagen Rabbit Hatchback/Sedan. Only 120K! Smogged.,3800.0,San Diego
196,2016 VW PASSAT 1.8T Sedan,9995.0,NATIONAL CITY
197,2010 Ford Escape XLT Sport Utility 4D,5000.0,San Diego
198,2018 Mercedes-Benz E-Class E 400 4MATIC AWD 4dr Sedan - Buy Here Pay Here!,41995.0,+ Grand Auto Sales
200,"2012 Ford Focus Sport Sedan 2nd Owner ,121k miles, Clean Title",4700.0,San diego
201,Volvo S60 T5 Momentum,28500.0,Vista
202,"1985 Ford F150 Lariat  Título limpio,53mil millas,Smog,Como nu",12850.0,South San Diego
203,2018 Ford Focus,5800.0,city of san diego
204,2021 MB Sprinter 2500 Diesel 170 EXT 2WD,65000.0,San Diego
205,2017 Land Rover Discovery First Edition AWD,26995.0,National City
206,2011 Toyota Corolla S,8900.0,south san diego county
207,1963 Ford F-100,34500.0,south san diego county
208,"2006 Infiniti G35 ""luxury""",4999.0,5 w 18th st. ste F National City
209,Z71 4x4 Single Cab Short Bed,9500.0,east san diego county
210,06 Toyota Tundra,3900.0,Spring Valley
211,1936 for 1/2 ton v8 flathead,13500.0,east san diego county
213,2015 JEEP GRAND CHEROKEE OVERLAND TURBO DIESEL EXTRA CLEAN SALE PRICE,17900.0,San diego
214,2002 Jeep - Wrangler -Sahara- TJ,14500.0,El Cajon
215,2008 Pontiac G6 GT,2100.0,Alpine
216,"2004 Dodge Durango V6 ,Titulo limpio,1 Dueño, Pocas millas",3950.0,South San Diego
217,2013 DODGE Challenger,9450.0,San Diego
219,2015 Nissan NV200 SV,19999.0,"SAN DIEGO,CA"
222,"2006 BENTLEY CONTINENTAL FLYING SPUR, LOOKS AND DRIVES GREAT, LUXURY.",24995.0,ORANGE COUNTY
223,Toyota Sienna,18000.0,Mira Mesa
224,1990 jeep wrangler yj,10800.0,San Diego
225,$183/mo - 2013 Honda Accord EXL Accord EX L Accord EX-L EXL EX L EX-L,12749.0,Alpha Motors
226,2017 Kia Sorento LX,15995.0,National City
227,2017 GMC Savana 3500  16FT Box Truck with Loading Ramp Truck,25977.0,FAM Vans Inc
228,2018 Isuzu NQR  Refrigeration Reefer 16FT Box Truck DIESEL with Loadin,42995.0,FAM Vans Inc
229,"2012 Ford Edge SEL Sport Utility ""CARFAX” “Fully loaded"" “Leather”",7999.0,Chula Vista “898 Broadway”
230,2018 Chevrolet Express 2500 Chevy Extended Cargo Van Van,30078.0,FAM Vans Inc
231,2004 Land Rover Range Rover HSE (99K miles),12495.0,Mission Valley - Prime Auto Imports
232,2007 Toyota Camry LE Sedan (78K miles),12495.0,Mission Valley - Prime Auto Imports
233,2009 Pontiac Solstice Convertible (18K miles),16495.0,Mission Valley - Prime Auto Imports
234,2019 Chevrolet Express 2500 Chevy Extended Cargo Van Van,29088.0,FAM Vans Inc
235,"2006 Hyundai Azera límited,Título limpio, smog,como nuevo",3850.0,South San Diego
236,2001 Chevy Silverado 1500,2400.0,Lemon Grove
237,2019 Mitsubishi Fuso FE160  18FT Refrigeration Box Truck Reefer GAS Tr,72995.0,FAM Vans Inc
238,2015 Ram 1500 4x4 4WD Truck Dodge Tradesman Crew Cab,24250.0,Escondido Auto Super Center
239,"2007 Honda Odyssey EXL,Leather seats Family minivan",5800.0,Escondido
240,2017 Toyota Corolla LE - GOOD/BAD/NO CREDIT OK!,13750.0,+ Escondido Auto Super Center
242,"2013 Honda Civic,Back Up Camera,BT and more",10450.0,Escondido
243,2016 Land Rover Range Rover Sport 4x4 4WD Supercharged Dynamic SUV  SU,25755.0,FAM Vans Inc
244,2022 Toyota Tacoma  SR5 Extended Cab Pickup Truck Pickup,27977.0,FAM Vans Inc
245,1993 JEEP WRANGLER,7950.0,Escondido
246,2004 Mercedes Benz E320,5900.0,Chula Vista Eastlake
247,2022 Chevrolet 3500 15ft Box Truck - LOW MILES! WARRANTY!,52900.0,Crystal Lake
248,2019 Chevrolet Express 2500 Chevy Extended Cargo Van Van,25755.0,FAM Vans Inc
249,"1999 Infiniti QX4 Título limpio,Smog,Pocas millas",3750.0,South San Diego
250,2007 Dodge Ram 2500 Turbo Diesel,25485.0,north san diego county
251,2020 Mitsubishi Fuso FE140  16FT Box Truck With Liftgate GAS Truck,49995.0,FAM Vans Inc
252,2003 Lexus ES300,3800.0,San
253,2016 Toyota Prius c Electric Two Hatchback,13750.0,Escondido Auto Super Center
254,"2002 Honda CR-V 4wd, small reliable suv, gas saver",6950.0,Escondido
255,Lexus 2005 LS430,6000.0,Spring Valley
257,"2015 Isuzu NQR Box , 14'  Diesel ONLY 70K Miles!!!",37999.0,north san diego county
258,"2015 Ford F350 Utility, Diesel 6.7L, Tow Package, READY!",33999.0,north san diego county
259,"2013 Ford F350 Utility,ONLY 41K MILES,4 NEW TIRES",25999.0,north san diego county
261,"2014 Kia Rio Titulo limpio,Smog,90mil millas",5850.0,South San Diego
262,2016 Acura MDX  w/Tech SUV,18999.0,Escondido Auto Super Center
263,GAS KODIAK C4500 CREW AB BOX TRUCK LIFT GATE GASOLINE TOP KICK TRUCK,12500.0,city of san diego
264,2004 Chrysler Crossfire Coupe v6 automatic 56K 56K superb condition,9995.0,Mission Viejo
265,2023 Bronco Wildtrak,78430.0,Spring Valley
266,"2016 Ford F-150, Long bed, low miles.One owner",15700.0,Escondido
267,Toyota Tacoma TRD 4x4 Sport 2019,37800.0,Coronado
268,2012 Hyundai Tucson Limited,4500.0,San Diego
269,ml320,5000.0,vista
270,2016 Ford F-150 4x4 4WD F150 Truck Crew cab XL SuperCrew,25750.0,Escondido Auto Super Center
271,Toyota pickup truck 4cyl 22R bulletproof engine manual transmission,5750.0,Studio City
272,2010 Mazda3 S Sport,5200.0,La Mesa
274,2008 Ford F350 F 350 F-350 Super Duty F 350 Super Duty XLT 2dr 2 dr 2-,14995.0,Bloom Auto Sales
275,2003 Dodge 1500 Stake Bed,9800.0,El Cajon
276,2018 RAM 5500 CREW CAB-CAB AND CHASISS-MILES 118881,39900.0,SAN JOSE
277,2017 Ford F-150 F150 Truck Crew cab XLT SuperCrew,27999.0,Escondido Auto Super Center
278,2018 Lexus ES  ES 350 Sedan,32991.0,Call *(760) 840-2312* to Confirm Availability Instantly
279,"2002 Chevy Malibu, Clean Title, Clean Car Fax, Clean interior",4250.0,south san diego county
280,2009 Toyota Prius Touring $5500 (obo),5500.0,Carmel Valley
281,Hyundai Genesis,9000.0,city of san diego
282,2008 Nissan Pathfinder SE,6200.0,San Diego
283,2017 Toyota Tacoma Truck SR5 Double Cab,27999.0,Escondido Auto Super Center
284,2006 Porsche 911 2dr Cpe Carrera 5 STARS on Google and Yelp,48888.0,san diego
285,2013 Cadillac CTS3.0 Luxury Collection Sedan 4D 82k miles only,8500.0,San Diego
286,2007 toyota Tundra,13999.0,San Diego
287,2016 MINI Cooper Hardtop 4 Door   Hatchback,15499.0,Escondido Auto Super Center
288,2008 Volkswagen rabbit 2.5L- manual transmission,3700.0,Santee
289,2021 Ram ProMaster 2500 159 WB SKU:547114 Ram ProMaster 2500 159 WB Ca,34976.0,San Diego Auto Finders
290,2019 Sprinter 4 x 4 Vanworks Basecamp,89500.0,Solana Beach
291,2005 Nissan Altima 2.5 SL,3200.0,San Diego
292,2013 chevy silverado 1500 one owner bench seat 6 clean title flex fuel,12998.0,Sandiego
293,2007 Toyota Highlander hybrid,5250.0,San Diego
296,2014 Toyota Tacoma Truck PreRunner Double Cab,23250.0,Escondido Auto Super Center
298,2012 Toyota Prius V Wagon,12500.0,Escondido
299,1998 JEEP WRANGLER(FULLY BUILT),22500.0,RAMONA
300,2016 Nissan Quest SV 58k MILES 27 MPG,9500.0,OLD TOWN
301,2012 Toyota Prius C,6800.0,La Mesa
302,2010 Mazda Cx-7,5500.0,san diego
304,2015 Toyota Corolla  LE Sedan,15250.0,Escondido Auto Super Center
305,2002 Chrysler Town & Country,4500.0,san diego
306,$338/mo - 2015 Honda Fit EXHatchback CVT,15699.0,Diamond Auto Sales
307,Truck 2009 chevy colorado,3100.0,San diego
309,2014 Dodge Challenger  SXT Coupe,16990.0,Call *(760) 840-2312* to Confirm Availability Instantly
310,2016 MINI Cooper Hardtop 4 Door  S Hatchback,19250.0,Escondido Auto Super Center
311,2008 TOYOTA TACOMA,19980.0,SAN DIEGO/KEARNY MESA
312,2012 Ford F-250 84k Miles 4x4,14900.0,San Diego
313,2004 LEXUS RX330,5700.0,SAN DIEGO
314,2002 Honda Accord EX,2800.0,Fallbrook
315,2006 Toyota Prius,5700.0,Mira Mesa
316,2008 Nissan Altima 2.5 S,5900.0,San Diego
317,1969 Maverick. VERY firm on price,1500.0,Escondido
318,2022 Chevrolet 3500 17ft Box Truck - Box Truck Liquidation Sale!,52900.0,Crystal Lake
321,2015 Ford Transit Wagon Mini Van XLT Passenger Van,31999.0,Escondido Auto Super Center
322,2012 NISSAN ALTIMA 2.5S - PRICED TO SELL!,6900.0,San Diego
323,2014 VOLKSWAGEN PASSAT TSi SE - SUPER CLEAN!!,9900.0,San Diego
324,2012 HONDA CR-V - FUEL EFFICIENT FAMILY TRANSPORT!,11900.0,San Diego
325,2005 HONDA CIVIC - THE DEFINITION OF RELIABILITY,5900.0,San Diego
326,2008 TOYOTA PRIUS - ONE OWNER! FUEL SAVING HYBRID WITH LOW MILES!!,9900.0,San Diego
327,2012 INFINITI G37 SPORT COUPE - JUST GORGEOUS!,12500.0,San Diego
328,2017 NISSAN VERSA SV - GAS SAVER!!,8900.0,San Diego
329,"2013 DODGE GRAND CARAVAN - LOW MILES, ONE OWNER!!",10900.0,San Diego
330,2018 Acura ILX  w/Premium Pkg Sedan,22999.0,Escondido Auto Super Center
331,2013 HONDA ACCORD LX - L@@K AT THIS BEAUTY!!,9900.0,San Diego
332,"2006 SCION tC - MUST SEE, SUPER CLEAN IN EXCELLENT CONDITION!!",5500.0,San Diego
333,"2008 HONDA ACCORD - AFFORDABLE, GREAT RUNNING CAR!",6900.0,San Diego
334,"2011 CHEVROLET EQUINOX LT - SUPER CLEAN, PRICED TO SELL!!",8900.0,San Diego
335,2014 NISSAN ROGUE SELECT - EXTRA CLEAN!!,8900.0,San Diego
336,2014 FORD ESCAPE SE ECO BOOST - SUPER CLEAN!,11000.0,San Diego
337,2014 JEEP COMPASS 4X4 - READY FOR ADVENTURE!!,9900.0,San Diego
338,2017 HYUNDAI SANTA FE LIMITED ULTIMATE - TOP OF THE LINE - ONE OWNER!!,15500.0,San Diego
339,2017 Toyota Tacoma 4x4 4WD Truck SR5 Double Cab,30499.0,Escondido Auto Super Center
340,2014 GMC Sierra 1500 SLT - Closeout Sale!,25250.0,Haggle Free Pricing!
341,Audi A5,11500.0,city of san diego
342,Mercedes benz,15300.0,city of san diego
343,*1990* *Nissan* *300ZX* *GS*,20788.0,_Nissan_ _300ZX_ _Coupe_
346,Beautiful 2015 Buick Verano with few miles,13450.0,Northpark
347,2014 GMC Sierra 1500 Truck SLT Crew Cab,25250.0,Escondido Auto Super Center
348,2020 Jeep Wrangler Sport S suv Granite Crystal Metallic Clearcoat,31977.0,CALL 619-345-3175 FOR AVAILABILITY
349,2018 Mercedes-Benz GLC 300 4MATIC SUV suv Polar White,31997.0,CALL 619-345-3175 FOR AVAILABILITY
350,2017 INFINITI QX70 W/ LIMITED + PREMIUM PKG! suv Liquid Platinum,22777.0,CALL 619-345-3175 FOR AVAILABILITY
351,2010 Chevy Chevrolet Camaro 2SS coupe Cyber Gray Metallic,18477.0,CALL 619-345-3175 FOR AVAILABILITY
352,2019 Alfa Romeo Giulia Ti Sport sedan Alfa White,27997.0,CALL 619-345-3175 FOR AVAILABILITY
353,2013 Ford F-750 Wilkie 72R-RL Sign Basket Winch Boom Truck Non CDL Aut,63800.0,"3510 S Manning Rd El Reno, Ok / N.E.Corner of I-40 & Manning"
354,Lexus ES - FINANCING AVAILABLE,12999.0,city of san diego
355,--* Make Offer *-- 2020 Dodge Charger,20999.0,"San Diego, CA"
356,--* Make Offer *-- 2020 GMC Acadia,25250.0,"San Diego, CA"
